geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN1_c1_g1	1726.05792675695	-1.5702504570044	0.524462829664062	-2.99401667418491	0.00275330897235854	0.0386006347559292
TRINITY_DN10005_c0_g1	57.7932297664846	4.19803139472876	1.15239847684022	3.64286440766514	0.000269620882524938	0.00890757156231951
TRINITY_DN10005_c0_g2	42.2982879671925	7.03898401084221	1.35860538247665	5.18103645225562	2.20656361126587e-07	7.44675532406346e-05
TRINITY_DN10011_c0_g1	23.7690201655698	3.51561364392728	1.11265971918092	3.15964852804707	0.00157959564958467	0.0272422176183886
TRINITY_DN10011_c1_g1	19.1826786790792	4.41687503311308	1.25617672774184	3.51612550652254	0.000437893931578552	0.0120196631540959
TRINITY_DN10015_c0_g1	13.2026728921017	4.30431376493421	1.35754691965706	3.17065561610315	0.00152095342077086	0.0266602022918811
TRINITY_DN10020_c0_g1	47.3385431119377	3.55568600141831	0.986106599845236	3.6057825816969	0.000311213624209418	0.00975871063613889
TRINITY_DN100261_c0_g6	15.8907983950946	5.1322930088625	1.35487786852305	3.78801154561421	0.000151857794323528	0.00598625977455183
TRINITY_DN10029_c0_g1	3.98566245724232	5.51780359292366	1.74755962146583	3.15743367216015	0.00159164441451923	0.0273494650128561
TRINITY_DN10035_c0_g1	50.3946608861164	1.70574124354284	0.578046390826358	2.95087257807175	0.00316877612548717	0.0418960066340841
TRINITY_DN10035_c1_g1	4.11946362678212	5.88669213097458	1.87255525863244	3.14366804602271	0.00166844587580703	0.0282144181810049
TRINITY_DN10038_c0_g1	23.9277915706818	6.09350020765226	1.36492865898366	4.4643360424343	8.03174244347923e-06	0.000884434361557771
TRINITY_DN10040_c0_g1	33.4033031514892	3.91559151017119	1.29422591093021	3.02543124589191	0.00248278845558956	0.0361251881053679
TRINITY_DN10051_c0_g1	43.7738089179958	4.94357291053017	1.21233125305289	4.07774104485163	4.54753743374536e-05	0.00271751568174516
TRINITY_DN10059_c0_g1	26.7471211908633	3.28128811330514	1.1037761031646	2.97278415785364	0.00295111899740172	0.0402901607008483
TRINITY_DN1006_c1_g1	37.0400626692651	5.39351623777992	1.41863360838579	3.80190924978648	0.000143585323567417	0.00579156279324809
TRINITY_DN1006_c1_g2	42.236077697569	4.03447268034625	1.34654142500587	2.99617420260848	0.00273390203791161	0.0383974085624052
TRINITY_DN1006_c7_g1	37.4370358031509	4.21629561304197	1.24008126839456	3.40001556389968	0.000673820176097554	0.0158053883417226
TRINITY_DN1006_c9_g1	3.7726421932909	5.09271294508151	1.7304205573903	2.94304926240705	0.00324996698337727	0.0425616837493657
TRINITY_DN1007_c4_g1	146.662166709288	-4.84679959187586	0.922218811912277	-5.2555852572837	1.47554476931834e-07	5.7204797627044e-05
TRINITY_DN10084_c0_g2	48.3804266256866	6.20504166596795	1.10062145103869	5.63776188453536	1.72274494398975e-08	1.01017456653199e-05
TRINITY_DN10085_c0_g1	35.8349246562985	3.7306779177175	1.1245800834695	3.31739639760272	0.000908606058911879	0.0191304803516859
TRINITY_DN10087_c0_g1	25.2289577653105	6.96602802113483	1.53656436372591	4.53350877163608	5.80118559364432e-06	0.00070817630937084
TRINITY_DN1009_c0_g1	1274.4800625748	-1.18973623236106	0.320443064513273	-3.71278509075604	0.000204990946100284	0.00739701944735718
TRINITY_DN10094_c0_g2	6233.76538677472	1.28176381541621	0.363901223620205	3.52228498344913	0.000427843947959335	0.0118338205181441
TRINITY_DN10095_c0_g1	26.7147763862318	7.6322778394887	2.37221791486544	3.21735949790331	0.00129376376958082	0.0239861819860973
TRINITY_DN10098_c0_g1	1394.74464978084	-0.467802159338834	0.157431614104872	-2.97146263791218	0.00296384933962233	0.0403785282895451
TRINITY_DN101_c3_g3	173.85483543222	-1.40727390416249	0.298695640506724	-4.71139753420943	2.46023788590322e-06	0.000416641730063971
TRINITY_DN10103_c0_g1	14.3083914523729	4.67297188738264	1.21424008139938	3.84847441537027	0.000118855707416943	0.00504023929997213
TRINITY_DN10104_c0_g1	24.0989928532226	4.36824473709237	1.21833635191947	3.5854177134338	0.000336539106670088	0.0102513308401908
TRINITY_DN10104_c0_g2	22.9823637360473	3.28130846548822	1.09137703770914	3.00657641870116	0.00264207635549741	0.0375802916423237
TRINITY_DN10107_c6_g1	940.552474124143	1.6407367321767	0.503250151339236	3.26028065329024	0.00111302019914411	0.0217779900976307
TRINITY_DN10112_c0_g1	15.9680192059089	4.57604275698791	1.30210063179418	3.51435414840596	0.000440824675938951	0.0120718537935179
TRINITY_DN10115_c0_g1	44.3832490896852	4.14918313150009	1.08210383036018	3.83436692033427	0.000125888106031249	0.00527268844100526
TRINITY_DN10116_c0_g1	487.17575695717	-1.06203160820468	0.311241947884464	-3.41223802068903	0.000644318265331941	0.0153973356223746
TRINITY_DN101186_c0_g1	9.69488095810656	5.16793096500999	1.52401452469105	3.39099849855935	0.000696384826247468	0.0161053499917844
TRINITY_DN10124_c0_g1	111.189708478816	-9.99557643452654	2.93191689846225	-3.40922910869987	0.000651467424570825	0.0154892736374138
TRINITY_DN10132_c0_g1	20.0990356417991	4.5043604108873	1.28221704453278	3.51294691494967	0.000443166009166225	0.0121006504598298
TRINITY_DN10136_c0_g1	31.6762485367755	3.66062475003839	0.988797561220986	3.70209726803753	0.000213824607355024	0.00760463406446109
TRINITY_DN10139_c0_g1	79.1246806033893	3.89822829790225	1.26310989005029	3.0862146901146	0.00202722392509827	0.0319171310116981
